trip_id_Count,bikeid,tripduration_Sum,Record_Count
661,371,630923,661
767,4242,751996,767
754,4513,751186,754
849,5317,768655,849
656,5236,605644,656
731,1513,734185,731
568,2306,477994,568
725,5804,674183,725
431,580,407420,431
144,2333,93737,144
339,2040,293952,339
424,3307,384402,424
534,3916,517712,534
840,5676,816051,840
1002,4941,947369,1002
674,4267,599140,674
673,1128,700815,673
668,1796,653345,668
738,1917,692931,738
696,257,686175,696
741,132,658389,741
839,4863,747996,839
815,222,895298,815
900,4388,800026,900
806,4523,760265,806
484,306,454316,484
937,3608,896864,937
558,2078,491310,558
813,4333,737537,813
862,4954,766488,862
689,765,831109,689
365,5185,283088,365
754,2367,675891,754
871,1076,849616,871
634,4596,577354,634
794,5642,768298,794
603,1565,522695,603
1075,5268,1095467,1075
683,4742,802480,683
691,414,588289,691
590,3126,625005,590
871,1743,864058,871
649,4427,608140,649
697,1230,664491,697
929,5698,867210,929
802,4544,798550,802
551,1770,473452,551
716,471,731616,716
730,3977,693070,730
811,4762,749380,811
752,4409,681943,752
578,2596,528779,578
961,5181,940865,961
931,4873,912035,931
536,3117,561357,536
599,3313,521794,599
319,2188,312957,319
814,4316,767027,814
695,5534,677279,695
503,196,438725,503
546,1661,555242,546
877,1878,827429,877
923,3841,852227,923
559,1168,552850,559
458,1380,359088,458
545,3467,525563,545
608,2774,596435,608
619,5190,552276,619
848,2659,867533,848
773,4842,724798,773
780,2074,668213,780
846,3250,831879,846
587,1235,559148,587
700,632,714211,700
232,3654,258943,232
567,2444,538548,567
855,4315,852057,855
690,3736,666730,690
473,1575,482506,473
513,462,467604,513
895,4914,929303,895
599,2309,571224,599
615,551,544182,615
617,2103,570113,617
474,1114,362444,474
554,3808,543586,554
660,1500,637870,660
383,5038,333550,383
604,808,615439,604
673,1411,565120,673
734,2980,657578,734
766,4733,913602,766
657,140,516694,657
412,4008,315525,412
596,1391,620764,596
382,3937,303257,382
768,3020,770935,768
834,5585,782961,834
835,4307,719923,835
679,1115,602048,679
897,3583,773686,897
657,80,583879,657
812,276,855577,812
674,1049,645495,674
237,3699,190614,237
824,2672,737003,824
682,3440,716493,682
487,2270,490381,487
622,768,605354,622
365,3119,300942,365
883,3470,796641,883
263,1325,275689,263
698,4594,688238,698
691,4239,614299,691
614,4297,700014,614
709,5137,701008,709
605,1499,632710,605
871,5593,784510,871
1012,5902,965884,1012
785,5270,749606,785
608,1022,618159,608
882,5171,784842,882
628,4422,603840,628
837,4189,881118,837
423,2250,409888,423
650,512,572752,650
798,3957,706480,798
478,3853,523252,478
646,1963,577632,646
625,3445,618308,625
635,728,555602,635
876,5492,1011534,876
547,889,565685,547
928,5702,848798,928
822,5118,872224,822
1016,5361,930762,1016
332,2017,391257,332
681,3580,583531,681
703,5009,761063,703
795,3506,723088,795
517,3817,433743,517
832,4840,753358,832
663,4114,634887,663
799,2918,846938,799
362,5721,306912,362
818,3760,947014,818
201,2000,189978,201
686,1183,721565,686
554,1453,551716,554
831,5480,780002,831
274,1590,242154,274
631,4629,510547,631
729,3868,710443,729
694,2916,739127,694
455,491,446354,455
819,3391,860906,819
696,4683,746729,696
745,986,739195,745
860,5634,747734,860
807,3211,809622,807
275,3537,297201,275
688,1528,607579,688
784,3643,802341,784
770,3992,855837,770
842,4309,860463,842
807,5046,805505,807
231,3836,166035,231
639,3943,615901,639
1061,3189,919735,1061
909,3318,799139,909
885,5607,831662,885
904,1935,796492,904
730,5791,738546,730
686,4253,696708,686
710,344,721275,710
390,2315,369341,390
318,1093,284572,318
685,4346,603490,685
699,4812,619256,699
618,4568,581476,618
747,3054,690139,747
572,1373,551616,572
470,3628,422273,470
634,1734,569160,634
639,3145,644492,639
749,2935,739451,749
343,1467,369326,343
630,1203,651768,630
634,3425,549808,634
889,94,891568,889
804,2822,762476,804
599,4498,484247,599
512,2345,506616,512
844,5597,807748,844
871,5232,841998,871
727,5258,681001,727
409,1311,436146,409
614,469,568027,614
577,5638,584682,577
768,3262,718690,768
415,1816,348776,415
531,2977,495825,531
948,4384,933943,948
891,5704,840339,891
674,2094,696718,674
802,5802,726461,802
779,74,659678,779
621,2379,596880,621
744,1925,729216,744
686,3242,762649,686
651,4651,591004,651
776,2964,770453,776
666,4896,646992,666
927,3535,864075,927
540,779,518395,540
732,4163,718699,732
188,5867,145180,188
659,3453,710531,659
596,3139,533288,596
144,5536,147016,144
540,4725,532912,540
830,4822,889533,830
847,4566,698372,847
361,3961,348721,361
711,5076,660700,711
586,4503,655526,586
757,550,825585,757
901,5603,793531,901
623,2945,651557,623
693,993,650202,693
627,2575,608308,627
966,5174,907290,966
705,2941,769482,705
707,5471,659870,707
876,3347,878375,876
1096,5386,1022490,1096
668,706,653623,668
1088,5113,964115,1088
688,1915,651498,688
589,1111,518093,589
734,1857,829795,734
651,4644,599634,651
501,809,532910,501
576,381,599870,576
116,2369,72324,116
762,1594,804284,762
694,4490,699529,694
701,695,694048,701
554,5710,499023,554
832,5761,728249,832
649,3226,630461,649
870,934,860875,870
1001,1341,881073,1001
996,4903,966307,996
374,1511,402866,374
803,2056,696736,803
735,263,718023,735
810,4191,763665,810
581,1926,510773,581
141,2642,101715,141
364,1361,373630,364
151,5017,193302,151
502,535,467838,502
669,3573,650767,669
1005,5686,909714,1005
595,713,560621,595
355,2940,331736,355
733,5550,686243,733
703,910,663083,703
641,1561,651850,641
792,1266,805238,792
564,197,542589,564
400,5901,363334,400
665,4187,613269,665
899,3271,846797,899
372,4532,373293,372
201,2758,158004,201
516,698,493982,516
809,5673,785220,809
983,5384,877119,983
782,343,759631,782
552,4145,574166,552
291,5579,324366,291
753,1007,725414,753
762,2545,689642,762
652,1729,675462,652
440,1451,448500,440
402,3067,388859,402
366,5590,253766,366
324,1955,262375,324
797,4690,795754,797
566,1887,558888,566
664,2491,712683,664
581,4744,488702,581
764,4394,760727,764
231,2803,154785,231
422,2581,405817,422
793,5349,765713,793
820,1089,782906,820
179,1397,154105,179
751,3529,713801,751
856,3135,847453,856
572,3799,518792,572
363,4025,387635,363
646,3867,647260,646
745,4150,705575,745
1049,5293,1191925,1049
810,3003,762782,810
488,5578,502082,488
222,435,187960,222
870,473,957291,870
524,1462,478215,524
555,2135,493071,555
619,5330,548047,619
549,2323,481842,549
480,1715,410655,480
657,1777,655809,657
736,3499,754957,736
581,2054,565782,581
683,2388,683978,683
541,1133,563926,541
562,2115,482972,562
766,3616,699147,766
813,2780,703511,813
558,2859,574117,558
433,1331,359984,433
659,2480,670764,659
471,2657,476342,471
327,5725,283312,327
543,4257,501399,543
565,2866,508870,565
778,673,731471,778
631,4643,530516,631
577,2371,522532,577
695,3860,608485,695
1078,5799,1090689,1078
999,5387,1075508,999
800,1459,716061,800
641,3290,720875,641
730,3452,645048,730
457,1540,459034,457
509,3190,499499,509
845,3600,777950,845
836,5849,773271,836
830,4302,796228,830
839,3021,821010,839
958,4664,915842,958
533,2457,492031,533
1141,4854,1106712,1141
233,3757,210541,233
1054,4262,932932,1054
741,4099,723635,741
220,4116,201092,220
167,4108,123644,167
536,1106,492974,536
693,1833,628491,693
515,1920,474902,515
602,859,598456,602
239,2632,220672,239
210,2139,142027,210
767,4348,778427,767
193,1815,128376,193
1049,5376,1102372,1049
636,2423,585177,636
652,2517,719622,652
755,3048,711802,755
717,3177,685106,717
257,858,248368,257
238,3967,150102,238
661,3089,633387,661
587,3920,598649,587
574,1748,566784,574
791,4545,818672,791
642,1217,663201,642
712,2580,630196,712
547,1505,477852,547
614,5904,575651,614
297,2956,309801,297
632,1872,647088,632
414,3154,397586,414
986,5515,962040,986
846,4551,786562,846
314,1554,283198,314
912,5617,811202,912
127,4804,86748,127
627,575,569470,627
737,4519,694836,737
309,1538,239277,309
819,2745,803227,819
173,2526,132890,173
481,2594,485341,481
441,1367,387488,441
660,972,654456,660
826,924,804151,826
753,3661,652087,753
475,684,465327,475
966,3200,981620,966
894,3596,784929,894
552,847,478029,552
709,275,729325,709
915,3966,863701,915
881,4786,794292,881
649,2950,686617,649
278,1040,216150,278
814,1388,709981,814
531,403,507970,531
663,897,628260,663
874,5475,807131,874
565,1829,514522,565
